Symbol,Name,Sector,Price,Dividend Yield,Earnings/Share,Market Cap,EBITDA,Assets,Revenue
MMM,3M Company,Industrials,222.89,2.3328617,7.92,138721055226,9048000000,19.6552028218695,50.7690790000717
AOS,A.O. Smith Corp,Industrials,60.24,1.1479592,1.7,10783419933,601000000,9.48661417322835,16.8480752780058
ABT,Abbott Laboratories,Health Care,56.27,1.9089824,0.26,102121042306,5744000000,17.6394984326019,15.0435222170928
ABBV,AbbVie Inc.,Health Care,108.48,2.4995599,3.29,181386347059,10310000000,4.14996174445295,17.2421164761552
ACN,Accenture plc,Information Technology,150.51,1.7144699,5.44,98765855553,5643228000,14.1723163841808,57.7969423032836
ATVI,Activision Blizzard,Information Technology,65.83,0.43190324,1.28,52518668144,2704000000,12.7577519379845,6.21323779249315
AYI,Acuity Brands Inc,Industrials,145.41,0.35118526,7.43,6242377704,587800000,40.9605633802817,80.9926859276754
ADBE,Adobe Systems Inc,Information Technology,185.16,0,3.39,94550214268,2538040000,16.7414104882459,14.1421044728492
AAP,Advance Auto Parts,Consumer Discretionary,109.63,0.21832074,6.19,8123611867,853941000,43.6772908366534,97.0085906093242
AMD,Advanced Micro Devices Inc,Information Technology,11.22,0,0.03,11191663795,339000000,0.522589659990685,5.31956378628724
AES,AES Corp,Utilities,10.06,4.961832,-1.72,6920851212,3001000000,4.57272727272727,15.2536604122464
AET,Aetna Inc,Health Care,178,1.101989,5.75,59197016353,4139000000,46.9656992084433,179.371365840396
AMG,Affiliated Managers Group Inc,Financials,179.11,0.6387395,12.07,10442174371,1261400000,61.9757785467128,39.0112899906017
AFL,AFLAC Inc,Financials,83.25,2.4299066,11.01,33422948000,0,54.4117647058824,53.9556315550421
A,Agilent Technologies Inc,Health Care,65.05,0.8756979,2.1,21984606918,1094000000,14.265350877193,10.0176128267332
APD,Air Products & Chemicals Inc,Materials,152.8,2.7811136,13.66,34638387128,2542500000,45.6119402985075,37.12009928752
AKAM,Akamai Technologies Inc,Information Technology,62.49,0,1.79,10906904066,789517000,19.2276923076923,10.6735627891418
ALK,Alaska Air Group Inc,Industrials,64.04,1.9928383,8.28,7903173734,1665000000,28.9773755656109,65.3396580707538
